gene_name CTL_gene_expr1 CTL_gene_expr2 M3KD_gene_expr1 M3KD_gene_expr2 untreated_IP1 untreated_IP2 treated_IP1 treated_IP2
ZBTB33 947 745 467 404 1.88 2.02 1.34 1.48
POM121C 2533 2126 3783 3844 0.63 0.51 0.95 0.88
HDAC6 1147 1000 1654 1649 1.37 1.12 0.69 0.67
TROAP 2158 1938 2273 2368 1.35 1.32 1.14 0.98
MTRNR2L1 81801 69717 57878 57581 0.21 0.15 0.62 0.65
MTRNR2L2 363792 295880 269697 263612 0.43 0.44 0.86 0.85
MTRNR2L8 366305 298036 292579 285993 0.22 0.19 0.55 0.54
ZNF865 663 604 787 861 3.93 3.62 3.36 3.17
ABCC9 4634 3915 3299 3224 0.78 0.6 0.93 0.94
SCAMP3 1188 1018 888 860 0.26 0.24 0.26 0.31
HUWE1 16989 14393 18359 18260 0.21 0.21 0.21 0.21
TSSC4 230 236 297 310 1.87 1.7 1.09 1.24
ARPC5 2388 2059 1758 1675 0.14 0.12 0.15 0.17
TSPAN3 2561 2151 1865 1730 1.36 1.52 0.97 1.07
PYURF 481 367 309 288 2.81 3.09 2.28 2.03
NUBP2 848 677 987 1015 1.64 1.74 0.52 0.51
CTDSP2 2603 2278 3793 3674 2.09 2.27 1.75 1.79
KIF20A 5700 4784 4050 3958 0.14 0.2 0.31 0.31
HIPK3 1048 915 1676 1624 1.84 2.03 1.23 1.32
FEM1B 770 592 536 489 0.77 0.77 0.62 0.68
ACTR1A 1640 1436 1753 1793 1.68 1.89 1.2 1.02
ARL4A 187 171 119 124 2.88 2.59 2.89 2.94
RBM12 1755 1464 1104 1090 1.13 1.12 1.18 1.22
ABI2 1101 967 800 775 0.31 0.48 0.6 0.63
SERF2 1298 1125 1020 1017 0.59 0.57 0.75 0.73
TSHZ1 1863 1644 2904 2939 1.64 1.67 0.83 0.92
CDK6 2309 2010 1505 1477 1.46 1.44 0.89 1
GDF11 777 623 1005 998 1.62 1.73 2.08 2.06
HNRNPR 6386 5348 3951 3820 1.55 1.46 1.13 1.01
RABEPK 712 636 566 538 1.19 1.41 0.45 0.5
CDK9 1228 1109 1560 1535 2.06 1.86 1.23 1.24
SF3B4 1692 1442 1972 2114 1.3 1.4 0.76 0.65
CDK2AP2 544 476 651 703 1.2 1.26 0.43 0.32
ADAR 7472 6439 9234 9130 1.63 1.56 1.55 1.62
CDKN2C 632 520 899 926 2.07 2.28 1.7 1.62
TFG 4087 3482 4038 4057 0.73 0.68 0.25 0.23
MICU1 808 707 985 910 2.36 2.23 1.62 1.78
CITED2 402 361 564 613 1.48 1.51 1.01 0.85
TUBA1B 43733 37402 32632 32146 0.38 0.32 0.44 0.52
MYL12B 1818 1612 1082 1069 0.15 0.11 0.17 0.17
BASP1 19684 16602 23538 23991 2.28 2.27 2.27 2.24
IFITM3 5161 4536 3786 3988 0.65 0.65 0.72 0.67
SPON2 361 364 497 545 1.9 2.03 1.34 1.39
CD2BP2 829 717 933 942 2.59 2.52 1.92 1.83
PGRMC2 1064 858 528 511 1.94 2.13 2.04 2.09
RBM14 1529 1244 1201 1197 0.32 0.31 0.16 0.17
TIMM17A 971 787 362 385 2.21 2.23 2.4 2.32
TAB1 805 707 965 970 2.16 2.23 1.63 1.61
SLC30A9 1676 1408 1165 1209 0.97 1 0.63 0.58
CAP2 885 751 628 615 0.24 0.01 1.14 1.38
LRRC41 1039 954 1205 1209 1.95 2.05 1.45 1.47
SYNCRIP 4520 3716 3573 3457 1.7 1.49 1.22 1.16
CEBPB 1493 1260 1115 1257 1.83 1.83 1.48 1.29
IPO7 6687 5405 4234 4048 1.43 1.27 0.86 0.82
PITRM1 2078 1777 1448 1495 1.94 1.87 2.34 2.2
CEBPG 766 662 606 555 2.3 2.23 2.61 2.78
PROCR 1372 1239 900 867 1.35 1.09 1.18 1.52
TM9SF1 268 231 397 410 1.58 1.71 1.2 1.21
AGPAT1 827 625 852 850 0.44 0.54 0.21 0.27
AGPAT2 789 657 1196 1135 1.47 1.46 0.84 0.96
TACC2 865 752 1236 1320 0.12 0.11 0.1 0.09
CENPB 1089 1026 1532 1597 2.28 2.02 1.49 1.33
TRIM16 3084 2708 1683 1700 2.38 2.18 1.44 1.34
CENPF 14045 11772 11744 11359 1.08 1.06 1.16 1.09
GAS2L1 804 680 1072 1046 2.62 2.71 2.2 2.23
IGF2BP2 1019 846 1107 1204 1.12 0.98 2.75 1.51
YKT6 2500 2152 2641 2764 1.29 1.3 0.75 0.72
GNA13 1287 1103 822 794 2.16 2.17 2.4 2.71
EBP 2360 2096 1865 1852 0.33 0.31 0.5 0.53
CNPY3 839 711 986 985 2.61 2.8 2.03 2.12
CFL1 8657 7489 8802 8651 0.63 0.55 0.6 0.57
SLC12A7 4069 3558 5160 5245 1.96 2.14 1.45 1.51
RAI1 2806 2525 4073 4159 2.64 2.4 1.89 1.84
MAP3K2 979 812 658 578 2.41 2.18 1.67 1.51
KIF1C 7882 6724 10068 9994 0.96 1.09 0.63 0.64
